Channel,Mass
1,1.0
2,1.0215851320943412
3,1.0431702641886824
4,1.0647553962830236
5,1.0863405283773648
6,1.107925660471706
7,1.1295107925660473
8,1.1510959246603885
9,1.1726810567547297
10,1.1942661888490709
11,1.2158513209434119
12,1.237436453037753
13,1.2590215851320943
14,1.2806067172264355
15,1.3021918493207767
16,1.323776981415118
17,1.3453621135094591
18,1.3669472456038003
19,1.3885323776981415
20,1.4101175097924827
21,1.431702641886824
22,1.4532877739811652
23,1.4748729060755061
24,1.4964580381698473
25,1.5180431702641886
26,1.5396283023585298
27,1.561213434452871
28,1.5827985665472122
29,1.6043836986415534
30,1.6259688307358946
31,1.6475539628302358
32,1.669139094924577
33,1.6907242270189182
34,1.7123093591132594
35,1.7338944912076006
36,1.7554796233019418
37,1.777064755396283
38,1.7986498874906243
39,1.8202350195849655
40,1.8418201516793067
41,1.863405283773648
42,1.884990415867989
43,1.9065755479623303
44,1.9281606800566715
45,1.9497458121510125
46,1.9713309442453537
47,1.992916076339695
48,2.0145012084340364
49,2.036086340528377
50,2.0576714726227188
51,2.0792566047170595
52,2.100841736811401
53,2.122426868905742
54,2.1440120010000836
55,2.1655971330944244
56,2.187182265188766
57,2.208767397283107
58,2.230352529377448
59,2.251937661471789
60,2.2735227935661304
61,2.2951079256604716
62,2.316693057754813
63,2.338278189849154
64,2.3598633219434952
65,2.3814484540378364
66,2.4030335861321777
67,2.424618718226519
68,2.44620385032086
69,2.4677889824152013
70,2.4893741145095425
71,2.5109592466038837
72,2.532544378698225
73,2.554129510792566
74,2.575714642886907
75,2.5972997749812485
76,2.6188849070755893
77,2.640470039169931
78,2.6620551712642717
79,2.6836403033586134
80,2.705225435452954
81,2.726810567547296
82,2.7483956996416365
83,2.769980831735978
84,2.791565963830319
85,2.8131510959246606
86,2.8347362280190014
87,2.856321360113343
88,2.877906492207684
89,2.899491624302025
90,2.921076756396366
91,2.9426618884907074
92,2.9642470205850486
93,2.98583215267939
94,3.007417284773731
95,3.0290024168680723
96,3.0505875489624135
97,3.0721726810567547
98,3.093757813151096
99,3.115342945245437
100,3.1369280773397783
101,3.1585132094341195
102,3.1800983415284607
103,3.201683473622802
104,3.223268605717143
105,3.2448537378114843
106,3.2664388699058255
107,3.2880240020001668
108,3.309609134094508
109,3.331194266188849
110,3.3527793982831904
111,3.3743645303775316
112,3.395949662471873
113,3.4175347945662136
114,3.4391199266605548
115,3.460705058754896
116,3.482290190849237
117,3.5038753229435784
118,3.5254604550379196
119,3.547045587132261
120,3.568630719226602
121,3.5902158513209432
122,3.6118009834152844
123,3.6333861155096256
124,3.654971247603967
125,3.676556379698308
126,3.6981415117926493
127,3.7197266438869905
128,3.7413117759813317
129,3.762896908075673
130,3.784482040170014
131,3.8060671722643553
132,3.8276523043586965
133,3.8492374364530377
134,3.870822568547379
135,3.89240770064172
136,3.9139928327360614
137,3.9355779648304026
138,3.9571630969247438
139,3.978748229019085
140,4.000333361113427
141,4.021918493207767
142,4.043503625302108
143,4.06508875739645
144,4.0866738894907915
145,4.108259021585132
146,4.129844153679473
147,4.151429285773814
148,4.173014417868155
149,4.194599549962497
150,4.216184682056838
151,4.237769814151179
152,4.25935494624552
153,4.280940078339862
154,4.302525210434203
155,4.324110342528543
156,4.345695474622885
157,4.367280606717227
158,4.3888657388115675
159,4.410450870905908
160,4.43203600300025
161,4.453621135094592
162,4.475206267188932
163,4.496791399283273
164,4.518376531377615
165,4.539961663471956
166,4.561546795566297
167,4.583131927660638
168,4.60471705975498
169,4.626302191849321
170,4.647887323943662
171,4.669472456038003
172,4.691057588132344
173,4.712642720226686
174,4.734227852321027
175,4.755812984415368
176,4.777398116509709
177,4.79898324860405
178,4.820568380698392
179,4.842153512792732
180,4.863738644887073
181,4.885323776981415
182,4.9069089090757565
183,4.928494041170097
184,4.950079173264438
185,4.97166430535878
186,4.993249437453121
187,5.014834569547462
188,5.036419701641804
189,5.0580048337361445
190,5.079589965830486
191,5.101175097924827
192,5.122760230019169
193,5.144345362113509
194,5.16593049420785
195,5.187515626302192
196,5.2091007583965325
197,5.230685890490874
198,5.252271022585215
199,5.273856154679557
200,5.295441286773897
201,5.317026418868239
202,5.33861155096258
203,5.360196683056921
204,5.381781815151262
205,5.403366947245604
206,5.424952079339945
207,5.446537211434286
208,5.468122343528627
209,5.489707475622969
210,5.5112926077173094
211,5.532877739811651
212,5.554462871905992
213,5.5760480040003335
214,5.597633136094674
215,5.619218268189016
216,5.640803400283357
217,5.662388532377698
218,5.683973664472039
219,5.705558796566381
220,5.7271439286607215
221,5.748729060755063
222,5.770314192849404
223,5.791899324943746
224,5.813484457038086
225,5.835069589132427
226,5.856654721226769
227,5.8782398533211095
228,5.899824985415451
229,5.921410117509792
230,5.942995249604134
231,5.964580381698474
232,5.986165513792816
233,6.007750645887157
234,6.0293357779814984
235,6.050920910075839
236,6.072506042170181
237,6.094091174264522
238,6.115676306358863
239,6.137261438453204
240,6.158846570547546
241,6.1804317026418865
242,6.202016834736228
243,6.223601966830569
244,6.2451870989249105
245,6.266772231019251
246,6.288357363113593
247,6.309942495207934
248,6.331527627302275
249,6.353112759396616
250,6.374697891490958
251,6.3962830235852985
252,6.41786815567964
253,6.439453287773981
254,6.461038419868323
255,6.482623551962663
256,6.504208684057005
257,6.525793816151346
258,6.547378948245687
259,6.568964080340028
260,6.590549212434369
261,6.612134344528711
262,6.633719476623051
263,6.655304608717393
